IDCliente,Edad,Género,Ingresos,ScoreCrediticio,Transacciones,PagosAtrasados,DeudaEnOtrosBancos,MontoDePagoDeDeudasMensuales,MontoDePagoMensualEnTarjetaCredito,EstabilidadLaboralEnAnos,ViveEnZonaRiesgosa,SeAtrasoMasDeUnaVez
436,19,M,12731.0,722,15,1,27639,9233,3745.0,0.0,Sí,1
437,25,M,2466.0,539,6,1,13766,496,3321.0,0.0,Sí,0
438,39,M,10108.0,734,1,1,1153,4174,639.0,0.0,Sí,1
439,42,M,7236.0,511,9,4,16660,8250,4369.0,0.0,Sí,1
440,19,M,14719.0,699,12,0,38172,5530,481.0,0.0,Sí,0
441,68,M,2181.0,825,25,2,38060,6969,81.0,0.0,No,0
442,26,F,3146.0,767,23,0,24907,1653,3303.0,0.0,No,0
443,26,M,3272.0,469,11,4,43212,7246,4126.0,0.0,No,1
445,23,F,5536.0,555,1,3,46010,243,1107.0,0.0,Sí,1
447,32,M,5680.0,446,28,2,19586,6999,250.0,0.0,Sí,0
449,32,M,4472.0,616,4,2,6663,6743,1620.0,0.0,No,0
450,67,M,4642.0,453,5,2,47981,2692,1718.0,0.0,Sí,0
451,24,M,13062.0,554,23,4,6189,6073,265.0,0.0,Sí,1
452,28,F,1063.0,650,25,2,20673,8230,21.0,0.0,No,0
453,57,F,14055.0,846,17,4,3589,3247,2123.0,0.0,No,0
454,55,F,1559.0,611,5,2,49007,6621,1510.0,0.0,No,0
455,57,F,8446.0,433,19,2,36409,1615,3852.0,0.0,No,0
456,19,F,2733.0,428,3,4,40104,19,4775.0,0.0,No,1
457,68,F,9861.0,735,11,2,15481,220,2938.0,0.0,Sí,0
458,65,M,4894.0,579,2,1,21492,3771,3422.0,0.0,Sí,0
461,61,F,3415.0,434,6,4,14574,7576,3007.0,0.0,Sí,1
462,34,F,11983.0,822,19,2,23093,8442,475.0,0.0,Sí,1
463,24,F,13905.0,618,1,2,29864,7828,2004.0,0.0,No,1
464,57,M,7090.0,379,7,4,5167,506,4989.0,0.0,Sí,0
465,56,M,6217.0,490,2,0,43743,4741,156.0,0.0,No,0
466,21,M,6387.0,752,24,1,19525,9060,4761.0,0.0,No,0
467,52,F,6179.0,643,19,1,20987,4587,2783.0,0.0,No,1
468,68,F,9187.0,329,1,2,16538,6438,2019.0,0.0,No,0
469,64,F,7643.0,713,26,4,3630,6600,1686.0,0.0,No,0
470,53,M,8660.0,667,9,3,8652,9361,4170.0,0.0,No,0
471,48,F,12246.0,801,21,2,25366,5357,3858.0,0.0,No,0
472,42,M,3458.0,320,17,1,46281,739,2414.0,0.0,No,0
473,58,M,12257.0,848,10,2,39565,9982,2803.0,0.0,Sí,0
474,30,M,10355.0,545,27,4,31036,8615,3249.0,0.0,Sí,0
475,35,M,7028.0,582,6,3,39362,3055,2155.0,0.0,No,0
476,38,M,6447.0,531,26,0,1867,4387,1826.0,0.0,No,0
477,65,M,,615,3,3,26264,2203,3757.0,,Sí,1
478,18,M,3749.0,635,27,2,576,3922,92.0,0.0,No,0
479,53,F,14948.0,710,20,1,7263,1957,4276.0,0.0,Sí,1
480,67,M,,544,24,4,46999,5326,670.0,,No,0
481,25,F,,686,15,2,3764,1789,2143.0,,No,0
482,69,M,9251.0,657,21,0,24937,6401,231.0,0.0,No,0
483,65,M,9092.0,321,28,4,33224,584,3989.0,0.0,No,0
485,60,F,,586,26,4,28800,3200,2951.0,,Sí,1
486,69,M,13363.0,575,20,2,35878,1342,1772.0,0.0,No,0
487,38,M,1189.0,371,6,0,37675,4190,2066.0,0.0,No,0
488,44,F,12752.0,664,3,2,4968,9400,1310.0,0.0,Sí,0
489,36,F,7008.0,634,10,4,24925,4785,158.0,0.0,No,0
490,40,F,8482.0,498,12,4,27268,9357,3778.0,0.0,Sí,1
491,68,F,1295.0,316,1,1,14202,4756,1586.0,0.0,Sí,1
492,67,M,11740.0,517,22,3,20931,6025,377.0,0.0,Sí,0
493,68,M,9368.0,446,29,2,4083,7455,3295.0,0.0,No,0
494,60,F,9168.0,509,16,0,16492,1062,713.0,0.0,Sí,1
495,52,M,1799.0,713,17,4,1231,8717,4187.0,0.0,No,0
496,57,F,9997.0,629,10,2,33344,4502,2223.0,0.0,No,1
497,69,F,8003.0,651,12,3,240,9574,4071.0,0.0,No,0
498,68,F,10934.0,462,19,2,10830,4981,2782.0,0.0,Sí,1
501,22,M,3700.0,626,23,1,38577,6066,3146.0,0.0,No,0
502,69,M,,454,8,2,26617,5400,1863.0,,Sí,1
503,58,M,10909.0,309,10,1,13573,5684,491.0,0.0,No,0
505,28,M,13415.0,482,18,4,26728,7353,3613.0,0.0,No,0
506,33,F,10484.0,754,10,4,49249,1987,1529.0,0.0,Sí,1
507,56,M,11790.0,305,7,2,42908,4067,945.0,0.0,Sí,1
508,64,M,14846.0,632,4,0,40924,5068,3640.0,0.0,Sí,0
509,41,M,6873.0,632,1,2,26071,4104,701.0,0.0,Sí,0
512,40,F,7491.0,350,5,3,10270,6654,2755.0,0.0,No,0
513,66,F,9333.0,744,26,2,18839,3734,3268.0,0.0,Sí,1
514,55,M,12408.0,676,8,3,19830,6804,3102.0,0.0,Sí,1
515,64,M,3839.0,785,2,0,42365,1241,1867.0,0.0,No,0
516,25,F,13532.0,350,2,4,16270,3500,4125.0,0.0,Sí,1
517,24,F,4513.0,453,24,4,37579,9853,3805.0,0.0,No,1
518,19,F,11942.0,609,14,2,7827,5730,3033.0,0.0,No,1
520,30,M,10906.0,433,10,3,27324,3261,389.0,0.0,No,1
522,46,F,7357.0,462,29,3,40574,3843,3347.0,0.0,Sí,1
523,55,M,12913.0,801,1,1,2923,4825,11.0,0.0,No,0
524,54,F,11101.0,414,14,1,37769,1981,1516.0,0.0,No,0
525,37,M,3247.0,798,2,1,17192,647,1620.0,0.0,Sí,1
526,50,F,7548.0,771,4,2,40244,3923,1757.0,0.0,No,0
527,46,M,5516.0,448,28,1,12886,1982,48.0,0.0,Sí,0
528,67,F,5102.0,540,19,1,31352,5255,1715.0,0.0,No,0
529,32,F,2548.0,422,1,4,38731,2019,260.0,0.0,Sí,0
531,59,F,13958.0,362,11,1,20614,4674,4281.0,0.0,No,0
532,20,F,7532.0,315,13,0,16711,8071,2276.0,0.0,Sí,1
533,54,M,,689,27,1,28870,6980,1927.0,,No,0
534,46,F,3831.0,557,18,2,17066,2832,2832.0,0.0,Sí,1
535,62,M,10198.0,516,10,3,44291,9212,4116.0,0.0,No,0
536,25,M,12413.0,778,5,4,32891,9273,15.0,0.0,Sí,0
537,39,M,,413,1,4,753,7102,2527.0,,Sí,0
538,46,M,13715.0,679,14,2,40882,5991,3866.0,0.0,No,0
539,19,F,8975.0,536,16,1,34374,4208,4101.0,0.0,Sí,0
540,58,F,4052.0,775,24,0,39293,3675,2345.0,0.0,Sí,0
541,66,F,13621.0,428,26,1,3578,1779,940.0,0.0,No,0
542,67,F,11511.0,809,18,1,21050,4696,258.0,0.0,No,1
543,62,M,8210.0,464,27,0,15468,4537,1063.0,0.0,Sí,0
544,18,M,4539.0,576,3,4,19229,8419,275.0,0.0,Sí,1
545,61,M,11558.0,556,3,1,2938,873,2791.0,0.0,Sí,0
547,69,F,3807.0,556,7,3,42886,3428,4922.0,0.0,Sí,1
548,38,F,,440,13,2,13875,9483,1930.0,,Sí,0
549,54,F,2753.0,508,9,2,35195,5604,3582.0,0.0,Sí,1
550,25,M,10864.0,818,3,0,24740,9219,1331.0,0.0,No,0
552,64,F,14843.0,802,15,2,9701,8312,479.0,0.0,Sí,1
553,52,M,11220.0,558,27,1,49121,8933,4509.0,0.0,No,0
554,23,M,2654.0,477,10,4,23291,3881,3046.0,0.0,Sí,0
555,62,F,13741.0,842,15,3,29286,9701,3594.0,0.0,No,0
556,61,F,5841.0,655,1,0,24116,9434,1488.0,0.0,Sí,1
557,36,M,5041.0,617,28,2,5886,4789,2824.0,0.0,No,0
558,35,F,6024.0,663,27,3,13672,7445,2092.0,0.0,No,0
559,18,M,10039.0,354,22,0,14508,4352,829.0,0.0,Sí,0
560,42,M,10059.0,455,21,0,28668,7471,4370.0,0.0,Sí,1
561,44,F,9965.0,343,10,1,43770,7059,1934.0,0.0,No,0
562,24,M,9734.0,841,7,0,9392,5649,2700.0,0.0,No,0
564,59,F,9977.0,313,3,0,46190,5008,4930.0,0.0,Sí,1
566,48,F,5635.0,782,9,1,46839,8785,1886.0,0.0,Sí,1
567,61,M,3883.0,658,8,4,8810,1033,2594.0,0.0,Sí,1
568,60,F,6884.0,617,3,3,37722,211,783.0,0.0,Sí,1
569,53,F,1448.0,374,26,0,29850,6057,4273.0,0.0,Sí,1
570,36,M,4310.0,493,5,2,36491,9597,2829.0,0.0,No,0
571,23,F,5585.0,662,13,2,34454,5508,2198.0,0.0,Sí,0
572,42,F,11097.0,395,13,4,47659,5017,610.0,0.0,Sí,1
573,48,F,13751.0,339,8,1,12924,8122,3518.0,0.0,No,1
574,26,F,9108.0,696,18,4,16023,8125,540.0,0.0,No,0
575,37,M,5409.0,406,7,4,28508,6479,2197.0,0.0,Sí,0
576,27,M,8873.0,316,27,4,28468,9113,2309.0,0.0,Sí,1
577,54,F,12443.0,826,10,3,28379,4062,412.0,0.0,No,0
578,44,M,7051.0,798,10,3,25929,7348,1783.0,0.0,Sí,1
579,30,M,9576.0,824,23,4,37007,7942,4587.0,0.0,No,0
580,58,M,1294.0,342,11,1,41313,7945,1727.0,0.0,Sí,1
581,19,M,2238.0,649,12,0,16664,3238,1427.0,0.0,Sí,1
583,38,M,9041.0,740,8,3,44337,1577,1637.0,0.0,Sí,0
584,50,F,3816.0,841,17,0,4932,1597,4576.0,0.0,Sí,1
585,41,F,2098.0,754,24,3,16205,2428,179.0,0.0,Sí,0
586,61,M,2737.0,393,14,3,19934,312,3396.0,0.0,No,0
587,59,F,3189.0,594,17,3,49541,6686,4677.0,0.0,Sí,1
589,26,F,2222.0,388,16,4,20251,3,1294.0,0.0,Sí,0
590,19,F,12434.0,802,9,3,20744,7061,1582.0,0.0,Sí,0
591,47,M,7549.0,513,20,3,2053,9077,3536.0,0.0,No,0
592,39,F,,721,10,2,37776,5218,363.0,,No,0
593,63,M,13515.0,825,29,0,8359,191,2116.0,0.0,Sí,0
594,28,F,1410.0,491,9,0,47458,2380,2355.0,0.0,Sí,0
595,60,F,12191.0,523,1,1,45905,1235,4518.0,0.0,No,0
597,53,M,9102.0,773,3,1,40874,7931,3116.0,0.0,Sí,1
598,30,M,5786.0,502,11,4,12461,2403,2542.0,0.0,No,0
599,24,F,10069.0,746,7,4,43966,6021,4020.0,0.0,No,0
600,33,M,1786.0,367,18,2,49338,7420,883.0,0.0,Sí,0
601,50,M,3109.0,391,13,4,21566,6734,1172.0,0.0,Sí,0
602,62,M,,477,23,1,45006,8453,1784.0,,No,0
603,18,M,,302,23,3,27516,2369,4674.0,,No,0
605,23,F,9126.0,572,18,2,47313,4427,2162.0,0.0,Sí,0
606,37,F,,833,16,3,46064,1259,2675.0,,No,1
607,52,F,8300.0,415,24,4,31469,2054,4332.0,0.0,Sí,1
608,61,F,10799.0,763,16,3,4627,533,2094.0,0.0,No,0
609,54,F,6709.0,403,21,2,11191,2119,2321.0,0.0,No,0
610,58,M,,558,10,4,33973,1523,112.0,,No,1
612,29,M,11502.0,666,8,1,16611,2589,1315.0,0.0,No,0
613,47,M,5401.0,601,19,1,45669,4419,2363.0,0.0,No,0
615,44,M,4295.0,807,27,2,23695,6744,50.0,0.0,No,0
616,59,F,9953.0,826,28,1,44691,1940,3495.0,0.0,No,0
618,22,F,3121.0,597,24,0,16633,72,3687.0,0.0,No,1
619,22,M,4582.0,660,9,0,2272,2887,2575.0,0.0,Sí,0
621,44,F,5197.0,329,19,2,3018,9179,2020.0,0.0,No,0
622,45,F,10821.0,738,8,3,12960,1345,3730.0,0.0,No,0
624,44,F,8232.0,425,8,0,34925,9223,874.0,0.0,No,0
625,69,F,5288.0,665,5,1,18180,2006,2944.0,0.0,No,0
626,66,M,2085.0,742,6,0,19628,9422,4803.0,0.0,Sí,1
628,38,F,13587.0,521,15,1,296,1819,3733.0,0.0,No,0
629,18,M,12458.0,301,28,1,34695,6794,213.0,0.0,No,0
630,45,M,9645.0,693,4,0,14578,7213,4108.0,0.0,Sí,0
631,65,F,3621.0,605,3,1,13554,3092,1818.0,0.0,No,0
632,32,M,9810.0,445,24,1,40189,5289,3494.0,0.0,No,0
633,34,F,,829,9,2,21585,2591,485.0,,No,1
634,43,M,3348.0,827,16,1,34225,7583,3015.0,0.0,Sí,1
636,42,M,14767.0,639,16,1,46622,8853,3479.0,0.0,Sí,0
637,30,M,4036.0,651,15,2,46083,9421,4214.0,0.0,Sí,1
638,50,M,11441.0,508,24,4,40129,9548,4027.0,0.0,No,0
639,42,M,,504,9,4,27703,3092,4937.0,,No,0
640,25,F,3349.0,314,17,3,3664,7061,3118.0,0.0,No,0
641,22,M,6743.0,727,21,3,26165,1673,663.0,0.0,Sí,1
642,23,F,5432.0,775,12,1,31099,9280,1023.0,0.0,No,0
643,40,F,7175.0,597,23,1,40422,6002,4882.0,0.0,Sí,1
644,69,M,11186.0,393,8,4,16479,7308,4442.0,0.0,No,0
645,47,M,8265.0,406,14,4,42319,6659,236.0,0.0,Sí,0
646,31,F,7103.0,718,27,0,6140,499,3284.0,0.0,No,0
647,40,M,12012.0,577,18,4,17736,325,3343.0,0.0,No,0
648,28,F,8358.0,427,12,4,22141,6033,2125.0,0.0,No,0
649,48,M,10263.0,758,27,3,21628,887,3217.0,0.0,No,0
651,28,M,14561.0,497,20,0,27243,3673,228.0,0.0,No,0
652,30,M,2249.0,656,23,1,17214,7935,4938.0,0.0,No,0
653,29,F,10487.0,306,5,1,17989,928,3412.0,0.0,No,1
654,19,F,,631,1,0,21029,4403,2886.0,,No,0
655,52,F,4556.0,818,13,0,44770,5426,4259.0,0.0,Sí,0
656,53,M,9519.0,493,14,1,7937,7990,4477.0,0.0,Sí,0
657,34,M,9988.0,615,2,3,29703,9846,4677.0,0.0,Sí,1
658,45,M,6299.0,300,16,3,45618,624,2819.0,0.0,Sí,1
659,45,M,12053.0,361,5,3,39284,4344,2989.0,0.0,Sí,0
660,39,F,13952.0,642,22,3,16605,2371,1086.0,0.0,Sí,1
661,55,F,11985.0,317,1,1,25106,4699,1993.0,0.0,No,0
662,24,M,4094.0,670,12,2,6493,8250,4341.0,0.0,No,0
664,49,M,1962.0,368,22,4,32335,6237,3305.0,0.0,Sí,0
666,41,F,6489.0,307,23,4,4117,8878,3599.0,0.0,No,0
667,20,M,2268.0,761,10,1,38176,7627,3587.0,0.0,No,0
668,47,F,6279.0,610,12,2,33521,4610,1305.0,0.0,No,1
670,19,M,5380.0,684,16,2,1188,4497,919.0,0.0,Sí,1
671,31,F,11760.0,355,17,1,47243,3852,41.0,0.0,No,0
672,58,F,8617.0,659,13,0,32113,3404,1282.0,0.0,Sí,1
673,35,F,14094.0,413,7,2,41368,2768,3565.0,0.0,Sí,0
674,68,F,13934.0,387,28,4,43445,2655,2120.0,0.0,No,0
675,61,M,12885.0,437,27,2,796,2140,3145.0,0.0,No,0
676,48,F,10796.0,407,3,3,47116,7724,2682.0,0.0,No,0
677,30,F,7279.0,799,5,2,14836,573,4496.0,0.0,No,0
678,43,F,1095.0,834,4,3,5145,1565,3150.0,0.0,Sí,0
679,61,F,5369.0,443,28,3,36939,9997,3724.0,0.0,No,1
680,29,M,4941.0,355,15,0,8175,436,1833.0,0.0,No,0
682,26,F,10392.0,841,12,0,1514,1398,3836.0,0.0,No,1
683,66,F,4944.0,746,23,4,15451,9746,3862.0,0.0,No,0
684,38,M,6868.0,684,14,2,37704,7691,128.0,0.0,Sí,1
685,65,M,14071.0,606,29,1,48393,3266,4474.0,0.0,No,0
686,66,F,6396.0,601,4,1,16882,6408,3186.0,0.0,No,0
687,57,M,9041.0,704,17,1,11433,3497,1345.0,0.0,Sí,1
688,60,M,1131.0,809,11,3,1369,4956,2436.0,0.0,No,0
689,41,M,12307.0,372,6,1,14068,1974,2833.0,0.0,No,0
690,51,M,8290.0,564,4,4,41658,9058,4559.0,0.0,Sí,1
691,25,F,10582.0,526,13,2,8116,9245,4642.0,0.0,Sí,1
692,61,M,7516.0,492,20,2,43687,5410,4504.0,0.0,No,0
693,50,M,10341.0,673,15,3,26826,7742,4713.0,0.0,No,0
694,40,F,12702.0,309,18,3,43453,2534,4856.0,0.0,No,0
695,30,F,6906.0,601,17,3,31237,7573,3223.0,0.0,No,0
696,66,F,12839.0,658,19,4,5364,8219,3476.0,0.0,Sí,1
697,31,M,1807.0,351,10,2,90,3217,2538.0,0.0,Sí,1
698,31,F,14031.0,398,5,0,12086,2335,2854.0,0.0,Sí,1
699,33,M,1050.0,312,12,3,11389,4676,1435.0,0.0,No,0
700,66,F,,689,25,1,16855,6395,255.0,,Sí,1
701,55,M,6277.0,656,15,0,38852,7329,2417.0,0.0,No,0
702,56,F,1055.0,310,23,0,42225,2157,1753.0,0.0,No,0
703,43,F,4664.0,380,4,3,27384,2691,4746.0,0.0,Sí,0
704,43,M,1743.0,560,8,1,1111,6541,3411.0,0.0,Sí,0
705,18,F,13730.0,305,28,3,33365,3342,75.0,0.0,Sí,1
706,49,F,7030.0,757,20,3,11408,1555,3611.0,0.0,No,1
707,32,F,9131.0,672,22,1,24002,275,504.0,0.0,Sí,1
708,69,F,14949.0,780,28,0,17738,2736,3392.0,0.0,No,0
709,38,F,12068.0,521,17,0,40645,9539,1992.0,0.0,Sí,1
710,35,M,1079.0,380,6,1,12138,3089,4757.0,0.0,No,0
711,47,M,13664.0,814,16,0,11427,7578,3378.0,0.0,Sí,0
712,30,F,13132.0,359,26,4,10896,7968,2394.0,0.0,No,1
714,47,M,4728.0,648,14,4,15360,152,2229.0,0.0,Sí,1
715,19,M,5536.0,527,2,4,36843,1604,239.0,0.0,No,0
716,36,F,1125.0,589,17,4,28226,6801,1777.0,0.0,Sí,1
717,64,M,6813.0,592,29,2,16847,7724,4260.0,0.0,No,0
718,61,F,9410.0,492,6,2,47565,1826,4158.0,0.0,Sí,1
719,64,F,1947.0,773,11,4,17456,8438,2402.0,0.0,Sí,0
720,42,F,13565.0,556,2,3,5446,5509,4146.0,0.0,No,0
721,67,F,1594.0,805,25,4,16857,1370,2631.0,0.0,Sí,0
722,31,M,6030.0,687,25,4,37751,5322,3906.0,0.0,No,0
723,23,M,1140.0,697,1,2,33706,5128,3010.0,0.0,No,0
724,29,M,12085.0,665,5,4,14703,5811,3389.0,0.0,Sí,1
726,40,M,10822.0,608,4,3,39959,6674,1214.0,0.0,No,0
729,55,M,6171.0,488,5,4,12855,9862,615.0,0.0,No,0
730,47,F,8782.0,477,24,2,23488,36,4658.0,0.0,No,0
731,58,F,3660.0,827,16,4,15772,1627,1130.0,0.0,Sí,0
732,47,F,7856.0,674,22,0,23116,2339,1521.0,0.0,Sí,1
733,53,M,7089.0,753,18,2,33027,6160,4451.0,0.0,No,0
734,66,F,12582.0,516,11,3,1656,1371,2664.0,0.0,No,0
736,33,F,14083.0,493,29,2,28855,5072,303.0,0.0,Sí,0
739,43,M,3552.0,764,4,1,5913,1616,1515.0,0.0,No,0
740,25,M,4611.0,462,19,0,7973,2231,583.0,0.0,Sí,0
741,31,F,,575,9,2,16975,6433,366.0,,Sí,0
743,19,F,2040.0,779,4,4,13305,3286,458.0,0.0,Sí,0
744,65,F,9506.0,759,16,0,10679,6301,119.0,0.0,No,0
745,21,M,8603.0,564,10,4,21961,7066,3284.0,0.0,No,0
747,37,M,5172.0,685,16,3,15643,392,3565.0,0.0,Sí,0
748,31,F,12217.0,384,20,3,27355,8622,3302.0,0.0,No,0
749,57,M,3946.0,615,22,3,42328,996,4459.0,0.0,No,0
750,42,M,,542,26,4,18008,7148,,,Sí,1
751,42,M,4680.0,768,17,0,23474,9283,,0.0,Sí,0
752,20,F,14928.0,641,29,4,3979,1100,,0.0,Sí,1
753,22,F,5807.0,476,18,4,46343,8293,,0.0,No,1
754,55,M,12298.0,429,15,3,739,9084,,0.0,Sí,0
755,43,M,2537.0,382,20,4,39289,2260,,0.0,No,0
756,57,M,4872.0,659,9,1,19558,9980,,0.0,Sí,0
757,55,M,2867.0,387,6,2,37817,2180,,0.0,Sí,0
758,55,M,14141.0,831,6,2,26646,5316,,0.0,No,0
760,24,M,4920.0,797,25,3,32272,6433,,0.0,Sí,1
762,47,F,4882.0,653,20,2,48055,4008,,0.0,Sí,1
764,56,M,,350,23,2,6594,3286,,,No,0
766,57,M,9456.0,388,15,2,12572,2628,,0.0,No,0
767,50,M,13620.0,489,7,2,40248,538,,0.0,No,0
768,50,F,7331.0,647,25,0,17569,1780,,0.0,No,0
769,31,F,6182.0,837,22,3,16973,6605,,0.0,No,0
770,55,F,14107.0,475,18,3,4217,2348,,0.0,Sí,0
771,27,M,10494.0,663,22,4,7648,5407,,0.0,No,0
772,45,M,14853.0,782,15,2,17519,7169,,0.0,No,0
773,31,M,10386.0,418,8,1,46318,1960,,0.0,No,0
774,53,M,2526.0,468,22,4,31953,3091,,0.0,No,0
775,55,M,9131.0,446,9,3,19804,7097,,0.0,No,0
776,33,M,12796.0,736,15,0,10750,3562,,0.0,No,0
777,38,F,5394.0,738,16,3,1,5081,,0.0,No,0
778,45,F,11440.0,488,20,3,17275,4901,,0.0,Sí,0
780,23,F,5367.0,701,27,2,45854,2485,,0.0,Sí,1
781,58,F,5630.0,317,5,2,12748,7928,,0.0,No,0
782,32,F,4513.0,439,3,3,32601,8175,,0.0,Sí,1
783,61,F,11270.0,414,27,4,27575,648,,0.0,No,0
784,20,M,2144.0,627,28,1,49076,7890,,0.0,Sí,1
785,60,F,1068.0,524,2,4,32369,3815,,0.0,Sí,0
786,64,M,4717.0,738,2,4,44617,6279,,0.0,Sí,1
787,52,M,12200.0,849,4,3,15317,9743,,0.0,Sí,1
788,31,F,10018.0,685,3,3,45109,9494,,0.0,No,0
789,19,M,10361.0,820,9,1,28318,2632,,0.0,Sí,0
790,46,F,10175.0,552,23,1,46546,7903,,0.0,No,0
791,21,M,13768.0,397,22,1,36972,1268,,0.0,Sí,1
792,43,M,13169.0,370,26,3,41239,1773,,0.0,Sí,0
795,19,M,11207.0,729,9,3,11079,1166,,0.0,No,0
796,34,F,10644.0,518,19,2,2884,2548,,0.0,No,0
797,52,M,11325.0,406,12,2,27861,1550,,0.0,No,0
798,27,F,10231.0,775,16,1,36347,2140,,0.0,Sí,1
799,65,M,5723.0,753,26,3,7195,5502,,0.0,No,0
800,39,M,5213.0,843,23,2,2251,6008,,0.0,No,0
801,58,M,7413.0,425,25,4,4640,6422,,0.0,No,0
802,60,M,4466.0,446,1,0,18740,5846,,0.0,No,0
803,38,M,4026.0,579,10,4,48761,3520,,0.0,No,0
804,32,F,7998.0,323,25,0,12815,7928,,0.0,No,1
805,52,M,13449.0,419,23,4,42891,7125,,0.0,Sí,0
806,65,F,3747.0,596,10,2,41968,8812,,0.0,No,1
807,38,F,8271.0,381,4,3,29913,5407,,0.0,No,0
808,38,M,14964.0,747,29,0,12904,2523,,0.0,Sí,0
809,38,M,13454.0,769,11,3,18462,4767,,0.0,Sí,0
810,61,F,13587.0,722,28,3,35482,8362,,0.0,Sí,0
812,22,M,12687.0,323,11,1,1338,2419,,0.0,Sí,0
813,56,F,4855.0,360,11,1,12782,9608,,0.0,Sí,0
814,26,F,9753.0,383,22,0,20073,6077,,0.0,No,0
815,35,F,3203.0,524,6,2,6614,7677,,0.0,Sí,1
816,38,F,,485,15,3,741,938,,,No,0
817,25,F,4419.0,674,2,4,30210,4930,,0.0,Sí,0
819,69,M,3699.0,373,23,0,13944,6943,,0.0,Sí,1
820,51,F,10743.0,640,22,0,1806,7611,,0.0,No,0
822,68,M,1560.0,395,27,2,43338,3177,,0.0,Sí,0
823,58,M,2187.0,744,28,4,11457,5351,,0.0,Sí,0
824,41,M,4133.0,409,5,2,1753,5100,,0.0,Sí,1
825,57,M,4411.0,757,29,2,40126,3796,,0.0,Sí,0
826,41,M,2689.0,350,24,3,14587,2884,,0.0,Sí,0
827,49,M,5407.0,676,11,2,5857,9923,,0.0,No,0
828,50,F,3423.0,372,21,2,33792,1272,,0.0,Sí,1
829,55,M,2369.0,511,12,3,42442,6407,,0.0,Sí,1
830,61,M,7007.0,731,26,1,22148,1752,,0.0,Sí,0
831,68,M,7728.0,467,3,3,36322,7670,,0.0,Sí,0
832,66,M,9772.0,630,9,0,9971,7430,,0.0,Sí,1
833,51,F,1976.0,793,27,1,11908,1691,,0.0,No,0
834,28,M,5272.0,442,3,4,21202,9449,,0.0,Sí,1
835,48,M,7497.0,744,2,2,26692,8623,,0.0,No,0
836,35,F,13801.0,693,6,1,4566,5173,,0.0,No,0
837,40,F,11548.0,811,24,4,31019,3905,,0.0,Sí,1
838,39,F,1118.0,627,6,3,14022,6046,,0.0,Sí,0
839,60,M,2542.0,558,17,3,43925,6080,,0.0,Sí,0
840,35,F,5862.0,736,8,0,43720,6156,,0.0,No,0
841,57,F,4043.0,648,1,0,39662,6814,,0.0,No,0
843,58,M,1915.0,748,8,2,39850,2104,,0.0,Sí,1
844,64,M,7621.0,698,22,3,44714,5099,,0.0,No,0
845,56,F,10629.0,513,15,1,19752,9376,,0.0,No,0
846,37,M,1586.0,845,18,1,35397,436,,0.0,No,0
847,30,M,,588,13,1,25104,4325,,,Sí,1
848,62,M,6625.0,558,25,0,20616,7008,,0.0,Sí,0
849,18,M,,557,8,3,30938,8813,,,Sí,0
850,69,M,14761.0,687,29,0,6661,8826,,0.0,No,0
852,41,F,3562.0,564,18,1,39043,2675,,0.0,Sí,0
853,53,F,7839.0,612,13,4,42995,5861,,0.0,No,0
854,53,F,11062.0,339,14,4,46442,2340,,0.0,Sí,0
855,62,M,9464.0,509,15,4,25943,9601,,0.0,No,0
856,19,F,3927.0,571,6,1,34487,3816,,0.0,Sí,0
857,45,F,7195.0,435,1,2,9233,9020,,0.0,Sí,0
858,43,M,13550.0,359,7,3,3487,2281,,0.0,Sí,1
859,40,M,12631.0,809,1,1,24559,7463,,0.0,Sí,0
860,32,M,7276.0,814,15,1,5844,5822,,0.0,Sí,0
862,44,F,14884.0,554,6,4,26140,9594,,0.0,Sí,1
863,23,M,13140.0,834,5,1,11416,8996,,0.0,No,0
864,52,M,10956.0,534,12,2,22859,6682,,0.0,No,0
865,56,M,5290.0,430,26,3,22253,9043,,0.0,Sí,1
866,55,M,6882.0,316,3,2,39230,8097,,0.0,No,0
867,52,M,14754.0,484,22,1,18184,555,,0.0,No,0
869,27,F,6167.0,722,14,0,30221,5341,,0.0,No,0
871,58,F,14432.0,311,6,0,21459,7400,,0.0,Sí,1
872,55,M,2522.0,819,4,2,15498,6029,,0.0,No,0
873,46,M,10023.0,379,15,4,4262,6818,,0.0,Sí,1
874,69,F,1561.0,601,17,4,32914,2094,,0.0,No,0
875,60,F,4540.0,515,5,2,45500,3478,,0.0,No,1
877,67,F,2479.0,840,6,4,38215,8445,,0.0,No,0
878,21,M,7677.0,571,10,1,21398,3520,,0.0,No,0
879,22,F,13658.0,432,9,3,43623,58,,0.0,No,0
880,21,M,2205.0,304,4,0,29924,3702,,0.0,No,0
881,53,M,7660.0,841,26,2,318,9913,,0.0,No,0
882,62,M,9848.0,440,9,3,12161,2607,,0.0,Sí,1
883,33,F,13132.0,782,8,3,12323,5110,,0.0,Sí,1
884,42,F,1589.0,604,3,1,5749,8456,,0.0,No,0
885,31,F,5326.0,644,22,0,33022,1707,,0.0,No,0
886,28,M,5904.0,569,20,3,9528,2293,,0.0,No,0
887,46,M,10563.0,407,1,0,21441,2484,,0.0,Sí,0
888,51,F,13766.0,773,25,1,8526,2735,,0.0,No,0
889,39,M,14520.0,381,20,2,44051,3455,,0.0,No,0
